priority,id,athleteName,sport,year,nationalityAsCurrentlyListed,personType,caseSourceUrl,sourceLocator,followupStatus,heldReason
162,usada-a065a9e92dd5,Dryden McKay,冰球,2022,美國,Athlete,https://www.usada.org/sanction/dryden-mckay-accepts-doping-sanction/,U.S. Hockey Athlete Dryden McKay Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
163,usada-5f2ba9170fdc,Grace Bowlby,冰球,2021,美國,Athlete,https://www.usada.org/sanction/grace-bowlby-accepts-public-warning/,U.S. Ice Hockey Athlete Grace Bowlby Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
164,usada-f8c1f2c29e25,Madeline Wethington,冰球,2021,美國,Athlete,https://www.usada.org/sanction/madeline-wethington-accepts-public-warning/,U.S. Ice Hockey Athlete Madeline Wethington Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
165,usada-7df0d8ede93d,Keir Pearson,划船,2021,美國,Athlete,https://www.usada.org/sanction/keir-pearson-accepts-doping-sanction/,U.S. Rowing Athlete Keir Pearson Accepts Lifetime Ban for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
166,usada-cbc321b291f0,Wyatt Struxness,地板滾球,2022,美國,Athlete,https://www.usada.org/sanction/wyatt-struxness-accepts-public-warning/,U.S. Boccia Athlete Wyatt Struxness Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
167,usada-70b898158395,James Vennera,射箭,2018,美國,Athlete,https://www.usada.org/sanction/james-vennera-accepts-public-warning/,U.S. Archery Athlete James Vennera Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
168,usada-0f682f5a12d7,Marck Harrison,帕拉地板滾球,2018,美國,Athlete,https://www.usada.org/sanction/marck-harrison-accepts-public-warning/,U.S. Paralympic Boccia Athlete Marck Harrison Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
169,usada-c3a050be56a3,Richard Burkett,帕拉射箭,2020,美國,Athlete,https://www.usada.org/sanction/richard-burkett-accepts-doping-sanction/,U.S. Paralympic Archery Athlete Richard Burkett Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
170,usada-05c2efe09f20,Trey Lampkin,帕拉柔道,2021,美國,Athlete,https://www.usada.org/sanction/trey-lampkin-accepts-public-warning/,U.S. Paralympic Judo Athlete Trey Lampkin Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
171,usada-f708f100d313,Josh Sisson,帕拉柔道,2021,美國,Athlete,https://www.usada.org/sanction/josh-sisson-receives-doping-sanction/,U.S. Paralympic Judo Athlete Josh Sisson Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
172,usada-b0f378938e1f,Gregory Walker,帕拉田徑,2022,美國,Athlete,https://www.usada.org/sanction/gregory-walker-accepts-doping-sanction/,U.S. Paralympic Track & Field Athlete Gregory Walker Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
173,usada-557b3d045e61,Jamaal Daniels,帕拉田徑,2021,美國,Athlete Support Personnel,https://www.usada.org/sanction/jamaal-daniels-accepts-doping-sanction/,U.S. Paralympic Track & Field Coach Jamaal Daniels Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
174,usada-0c3eeb120b51,Peter Park,帕拉田徑,2016,美國,Athlete,https://www.usada.org/sanction/peter-park-accepts-doping-sanction/,"U.S. Track & Field Para Athlete, Peter Park, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
175,usada-cc59982303fb,Jason Griffin,帕拉自行車,2018,美國,Athlete,https://www.usada.org/sanction/jason-griffin-accepts-doping-sanction/,U.S. Paralympic Cycling Athlete Jason Griffin Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
176,usada-cca09860726b,Joseph Lamour,手球,2016,美國,Athlete,https://www.usada.org/sanction/joseph-lamour-receives-doping-sanction/,"U.S. Handball Athlete, Lamour, Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
177,usada-365cbd5fbcea,Arika Skoog,拳擊,2022,美國,Athlete,https://www.usada.org/sanction/arika-skoog-accepts-doping-sanction/,U.S. Boxing Athlete Arika Skoog Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
178,usada-7da5b8af5ba7,Tyler Sundeen,曲棍球,2023,美國,Athlete,https://www.usada.org/sanction/tyler-sundeen-accepts-doping-sanction/,U.S. Field Hockey Athlete Tyler Sundeen Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
179,usada-2428086c1745,Tara Harbert,棒球,2015,美國,Athlete,https://www.usada.org/sanction/tara-harbert-accepts-doping-sanction/,"US Baseball Athlete, Harbert, Receives Sanction For Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
180,usada-edbbe5e82ff0,Riekert Hattingh,橄欖球,2022,美國,Athlete,https://www.usada.org/sanction/riekert-hattingh-accepts-doping-sanction/,U.S. Rugby Athlete Riekert Hattingh Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
181,usada-6d48feafc5e9,Nia Williams,橄欖球,2015,美國,Athlete,https://www.usada.org/sanction/nia-williams-receives-doping-sanction/,"U.S. Rugby Athlete, Williams, Receives Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
182,usada-9e3ec5e00217,Isabel Gormley,游泳,2021,美國,Athlete,https://www.usada.org/sanction/isabel-gormley-accepts-sanction/,U.S. Swimming Athlete Isabel Gormley Accepts Sanction for Whereabouts Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
183,usada-c19d2e9f8557,Tate Jackson,游泳,2021,美國,Athlete,https://www.usada.org/sanction/tate-jackson-accepts-sanction/,U.S. Swimming Athlete Tate Jackson Accepts the Minimum Applicable Sanction of One Month for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
184,usada-a6e4b38ecdbe,Samantha Dumala,滑水,2020,美國,Athlete,https://www.usada.org/sanction/samantha-dumala-accepts-public-warning/,U.S. Waterskiing Athlete Samantha Dumala Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
185,usada-8d214edc5d96,Logan Storie,現代五項,2020,美國,Athlete,https://www.usada.org/sanction/logan-storie-accepts-doping-sanction/,U.S. Pentathlon Athlete Logan Storie Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
186,usada-8acc4528cb6b,Addie Bracy,田徑／超級馬拉松,2023,美國,Athlete,https://www.usada.org/sanction/addie-bracy-accepts-public-warning/,U.S. Ultrarunning and Track & Field Athlete Addie Bracy Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
187,usada-e7645ab29f67,Joseph Mazzie,直排輪曲棍球,2016,美國,Athlete,https://www.usada.org/sanction/joseph-mazzie-accepts-doping-sanction/,"U.S. Roller Hockey Athlete, Mazzie, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
188,usada-f534d40de6df,Janel Tisinger-Ledkins,短柄牆球,2019,美國,Athlete,https://www.usada.org/sanction/janel-tisinger-ledkins-accepts-doping-sanction/,U.S. Racquetball Athlete Janel Tisinger-Ledkins Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
189,usada-f49825dfb87e,Sharon Jackson,短柄牆球,2018,美國,Athlete,https://www.usada.org/sanction/sharon-jackson-accepts-public-warning/,U.S. Racquetball Athlete Sharon Jackson Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
190,usada-1afebbd6c57b,Cesar Colunga,空手道,2018,美國,Athlete,https://www.usada.org/sanction/cesar-colunga-accepts-doping-sanction/,U.S. Karate Athlete Cesar Colunga Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
191,usada-9c8b8e7bbb4c,Chris Creveling,競速滑冰,2016,美國,Athlete,https://www.usada.org/sanction/chris-creveling-accepts-doping-sanction/,"U.S. Speed Skating Athlete, Chris Creveling, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
192,usada-507362151651,Rachel Campbell,舉重／CrossFit,2018,美國,Athlete,https://www.usada.org/sanction/rachel-campbell-receives-doping-sanction/,U.S. Weightlifting Athlete Rachel Campbell Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
193,usada-8e3e0cdfe74b,Victoria Francis,角力,2018,美國,Athlete,https://www.usada.org/sanction/victoria-francis-accepts-doping-sanction/,U.S. Wrestling Athlete Victoria Francis Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
194,usada-48f0300507d6,Michael Dunkum,角力,2013,美國,Athlete,https://www.usada.org/sanction/michael-dunkum-accepts-sanction/,"U.S. Wrestling Athlete, Dunkum, Accepts Sanction for Non-Analytical Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
195,usada-b6074d0cf1fc,Lindsey Corrigan,跆拳道,2022,美國,Athlete,https://www.usada.org/sanction/lindsey-corrigan-accepts-doping-sanction/,U.S. Taekwondo Athlete Lindsey Corrigan Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
196,usada-4518fb0dbd4d,Talina Le,跆拳道,2019,美國,Athlete,https://www.usada.org/sanction/talina-le-accepts-doping-sanction/,U.S. Taekwondo Athlete Talina Le Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
197,usada-8813abb5dfc8,James Howe II,跆拳道,2016,美國,Athlete,https://www.usada.org/sanction/james-howe-accepts-doping-sanction/,"U.S. Taekwondo Athlete, Howe II, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
198,usada-2a3f0160a9f3,Andrii Monastyrskyi,輕艇,2022,美國,Athlete,https://www.usada.org/sanction/andrii-monastyrskyi-accepts-doping-sanction/,U.S. Canoe Athlete Andrii Monastyrskyi Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
199,usada-4c30c4355448,Robert Prenoveau,輪椅冰壺,2016,美國,Athlete,https://www.usada.org/sanction/robert-prenoveau-accepts-public-warning/,"U.S. Wheelchair Curling Athlete, Robert Prenoveau, Accepts Public Warning for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
200,usada-806eab5af83f,Sarah Heinzl,輪椅籃球,2017,美國,Athlete,https://www.usada.org/sanction/sarah-heinzl-accepts-public-warning-anti-doping-rule-violation/,"U.S. Wheelchair Basketball Athlete, Sarah Heinzl, Accepts Public Warning for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
201,usada-de625da34c51,Dylan Fischbach,輪椅籃球,2015,美國,Athlete,https://www.usada.org/sanction/dylan-fischbach-accepts-doping-sanction/,"US Paralympic Basketball Athlete, Fischbach, Accepts Sanction For Anti-Doping Rule Violation：2015-12-18 公告全部個案段落：身分、拒絕採樣日期、兩年處分與成績取消；U.S. Paralympic Basketball Athlete, Fischbach, Receives Disqualification of Results For Violating Period Of Ineligibility：2016-04-11 更新全部個案段落：NWBA 大學賽事參賽、過失判斷及追加取消成績",not_in_previous_44,
202,usada-2afd16a939d4,Noah Webb,鐵人三項,2021,美國,Athlete,https://www.usada.org/sanction/noah-webb-accepts-doping-sanction/,U.S. Triathlon Athlete Noah Webb Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
203,usada-b714a3c460a7,Lauren Goss,鐵人三項,2019,美國,Athlete,https://www.usada.org/sanction/lauren-goss-accepts-doping-sanction/,U.S. Triathlon Athlete Lauren Goss Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
204,usada-07d30b0088c7,Julie Rosiek,鐵人三項,2017,美國,Athlete,https://www.usada.org/sanction/julie-rosiek-accepts-doping-sanction/,U.S. Triathlete Julie Rosiek Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
205,usada-31d2d25d4314,Michael Meacham,鐵人三項,2017,美國,Athlete,https://www.usada.org/sanction/michael-meacham-accepts-doping-sanction/,U.S. Triathlon Athlete Michael Meacham Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
206,usada-6e7d139bba18,Nicholas Gough,鐵人三項,2017,美國,Athlete,https://www.usada.org/sanction/nicholas-gough-receives-doping-sanction/,U.S. Triathlete Nicholas Gough Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
207,usada-e52ee6c67921,Lisa Roberts,鐵人三項,2017,美國,Athlete,https://www.usada.org/sanction/lisa-roberts-accepts-public-warning-doping-violation/,U.S. Triathlon Athlete Lisa Roberts Accepts Public Warning for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
208,usada-e202db4ec31d,Ashley Paulson,鐵人三項,2015,美國,Athlete,https://www.usada.org/sanction/ashley-paulson-accepts-sanction/,"US Triathlon Athlete, Paulson, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
209,usada-2791db22edc5,Bill Beyer,鐵人三項,2010,美國,Athlete,https://www.usada.org/sanction/bill-beyer-accepts-doping-sanction/,U.S. Triathlon Athlete Bill Beyer Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
210,usada-a187e411794f,Mallory Schafer,鐵人三項／鐵人兩項,2019,美國,Athlete,https://www.usada.org/sanction/mallory-schafer-accepts-doping-sanction/,U.S. Triathlon Athlete Mallory Schafer Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
211,usada-5b6cb4ab463d,Riley Stohr,雪橇,2017,美國,Athlete,https://www.usada.org/sanction/riley-stohr-accepts-doping-sanction/,"U.S. Luge Athlete, Riley Stohr, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
212,usada-b54bb0c30eb2,Kyler Allison,雪車,2019,美國,Athlete,https://www.usada.org/sanction/kyler-allison-receives-doping-sanction/,U.S. Bobsled Athlete Kyler Allison Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
213,usada-a0a7483bcc7e,J.C. Cruse,雪車,2017,美國,Athlete,https://www.usada.org/sanction/jc-cruse-accepts-doping-sanction/,"U.S. Bobsled Athlete, J.C. Cruse, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
214,usada-f40282760e72,"Patrick ""Dillon"" Schrodt",雪車,2017,美國,Athlete,https://www.usada.org/sanction/patrick-schrodt-accepts-doping-sanction/,"U.S. Bobsled Athlete, Patrick Schrodt, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
215,usada-09d96ec873e6,Susan Dutta,馬術,2016,美國,Athlete,https://www.usada.org/sanction/susan-dutta-accepts-public-warning-for-anti-doping-rule-violation/,"U.S. Equestrian Athlete, Dutta, Accepts Public Warning for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
